state,county,pop,density
Puerto Rico,Añasco,26161,null
Puerto Rico,Adjuntas,17363,null
Puerto Rico,Aguada,36694,null
Puerto Rico,Aguadilla,50265,null
Puerto Rico,Aguas Buenas,24814,null
Puerto Rico,Aibonito,22108,null
Puerto Rico,Arecibo,81966,null
Puerto Rico,Arroyo,17238,null
Puerto Rico,Barceloneta,23727,null
Puerto Rico,Barranquitas,27725,null
Puerto Rico,Bayamón,169269,null
Puerto Rico,Cabo Rojo,47515,null
Puerto Rico,Caguas,124606,null
Puerto Rico,Camuy,30504,null
Puerto Rico,Canóvanas,44674,null
Puerto Rico,Carolina,146984,null
Puerto Rico,Cataño,23121,null
Puerto Rico,Cayey,42409,null
Puerto Rico,Ceiba,10904,null
Puerto Rico,Ciales,15808,null
Puerto Rico,Cidra,38307,null
Puerto Rico,Coamo,38336,null
Puerto Rico,Comerío,18648,null
Puerto Rico,Corozal,32293,null
Puerto Rico,Culebra,1714,null
Puerto Rico,Dorado,36141,null
Puerto Rico,Fajardo,29454,null
Puerto Rico,Florida,11317,null
Puerto Rico,Guánica,15383,null
Puerto Rico,Guayama,39465,null
Puerto Rico,Guayanilla,17623,null
Puerto Rico,Guaynabo,83728,null
Puerto Rico,Gurabo,47093,null
Puerto Rico,Hatillo,39218,null
Puerto Rico,Hormigueros,15518,null
Puerto Rico,Humacao,50653,null
Puerto Rico,Isabela,40423,null
Puerto Rico,Jayuya,13891,null
Puerto Rico,Juana Díaz,44679,null
Puerto Rico,Juncos,38155,null
Puerto Rico,Lajas,22010,null
Puerto Rico,Lares,24276,null
Puerto Rico,Las Marías,7927,null
Puerto Rico,Las Piedras,37007,null
Puerto Rico,Loíza,24553,null
Puerto Rico,Luquillo,17665,null
Puerto Rico,Manatí,37287,null
Puerto Rico,Maricao,5430,null
Puerto Rico,Maunabo,10321,null
Puerto Rico,Mayagüez,71530,null
Puerto Rico,Moca,34891,null
Puerto Rico,Morovis,30335,null
Puerto Rico,Naguabo,25761,null
Puerto Rico,Naranjito,27349,null
Puerto Rico,Orocovis,20220,null
Puerto Rico,Patillas,16211,null
Puerto Rico,Peñuelas,19249,null
Puerto Rico,Ponce,131881,null
Puerto Rico,Quebradillas,22918,null
Puerto Rico,Río Grande,48025,null
Puerto Rico,Rincón,13656,null
Puerto Rico,Sabana Grande,21712,null
Puerto Rico,Salinas,27128,null
Puerto Rico,San Germán,30227,null
Puerto Rico,San Juan,318441,null
Puerto Rico,San Lorenzo,35989,null
Puerto Rico,San Sebastián,35528,null
Puerto Rico,Santa Isabel,21209,null
Puerto Rico,Toa Alta,72025,null
Puerto Rico,Toa Baja,74271,null
Puerto Rico,Trujillo Alto,63674,null
Puerto Rico,Utuado,27395,null
Puerto Rico,Vega Alta,36061,null
Puerto Rico,Vega Baja,50023,null
Puerto Rico,Vieques,8386,null
Puerto Rico,Villalba,21372,null
Puerto Rico,Yabucoa,32282,null
Puerto Rico,Yauco,33575,null
New York,New York City,1628706,71874.13873
New York,Kings,2559903,36901.37313
New York,Bronx,1418207,33726.50427
New York,Queens,2253858,20719.74125
California,San Francisco,881549,18795.22351
New Jersey,Hudson,672391,14555.93898
Massachusetts,Suffolk,803907,13801.32086
Pennsylvania,Philadelphia,1584064,11796.78275
District of Columbia,District of Columbia,705749,11543.99994
Virginia,Alexandria city,159428,10675.36695
Virginia,Arlington,236842,9110.213712
New York,Richmond,476143,8277.825491
Maryland,Baltimore city,593490,7331.86199
Virginia,Falls Church city,14617,7142.638344
Virginia,Manassas Park city,17478,6923.039553
New Jersey,Essex,798975,6336.819561
Illinois,Cook,5150233,5450.38436
New Jersey,Union,556341,5413.651262
Missouri,St. Louis city,300576,4868.134093
New York,Nassau,1356924,4767.276818
Colorado,Denver,727211,4743.955268
Virginia,Charlottesville city,47266,4613.716617
Virginia,Norfolk city,242742,4556.402157
Virginia,Manassas city,41085,4171.378099
California,Orange,3175692,4005.616646
New Jersey,Bergen,932202,4004.557139
Wisconsin,Milwaukee,945726,3916.343158
Virginia,Fairfax city,24019,3848.912011
Virginia,Richmond city,230436,3845.531732
Minnesota,Ramsey,550321,3614.749544
Florida,Pinellas,974996,3561.278129
Pennsylvania,Delaware,566747,3083.249846
Virginia,Harrisonburg city,53016,3057.576013
Virginia,Winchester city,28078,3054.314384
Texas,Dallas,2635516,3021.082591
Virginia,Lexington city,7446,2979.30645
Virginia,Fairfax,1147532,2934.811636
Michigan,Wayne,1749343,2859.434274
Georgia,DeKalb,759297,2836.041489
Virginia,Portsmouth city,94398,2834.721871
Illinois,DuPage,922921,2815.852843
Virginia,Fredericksburg city,29036,2778.380596
Texas,Harris,4713325,2762.549219
Ohio,Cuyahoga,1235072,2701.493654
New Jersey,Passaic,501826,2697.823885
New Jersey,Middlesex,825062,2668.242889
Virginia,Hampton city,134510,2613.969769
Virginia,Newport News city,179225,2597.756818
California,Los Angeles,10039107,2473.50735
Ohio,Franklin,1316756,2473.194274
Texas,Tarrant,2102515,2434.430253
Indiana,Marion,964582,2432.316825
Virginia,Roanoke city,99143,2331.612153
Virginia,Colonial Heights city,17370,2310.015694
Louisiana,Orleans Parish,390144,2302.637414
New Jersey,Camden,506471,2288.100049
Minnesota,Hennepin,1265843,2285.556291
California,Alameda,1671329,2266.803836
New York,Westchester,967506,2246.937711
Georgia,Cobb,760141,2237.089602
Virginia,Hopewell city,22529,2175.798176
Georgia,Gwinnett,936250,2174.175275
